,train_accuracy,train_roc_auc,train_ap,train_mapr,train_f1,train_r2,test_accuracy,test_roc_auc,test_ap,test_mapr,test_f1,test_r2,score
KNeighborsClassifier(n_neighbors=3),0.8932664756446992,0.8650183853795071,0.8943399033723571,296798829310949.56,0.9237071172555043,0.5036687243338431,0.7412353923205343,0.6844489309934254,0.7783395262567768,661630663119538.6,0.8161328588374852,-0.20159703887767266,0.7412353923205343
"SVC(C=0.025, kernel='linear')",0.744269340974212,0.6114624072081187,0.7386317247104938,1048474125283245.9,0.8385345997286296,-0.1891964121665639,0.7245409015025042,0.579929595692913,0.7224504602709153,1142816599933748.5,0.8283038501560874,-0.2791194284826837,0.7245409015025042
"SVC(C=1, gamma=2)",0.9505730659025788,0.9254121498605289,0.9370173788078318,200016602361726.9,0.9650278763304613,0.770155315295538,0.7646076794657763,0.6625187658539111,0.7646952138397736,864630980213033.5,0.845225027442371,-0.09306569343065707,0.7646076794657763
GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1)),0.8646131805157593,0.8136467000570293,0.8570099072030949,454876466661346.7,0.9060169070114371,0.37042542885299556,0.7696160267111853,0.7123453434798365,0.7942344997807165,624038011805928.5,0.8376470588235295,-0.06980897654915363,0.7696160267111853
DecisionTreeClassifier(max_depth=5),0.7822349570200573,0.7057337090743361,0.7900300659282753,703284182497684.9,0.8517073170731708,-0.012649045654441027,0.7395659432387313,0.658700885230626,0.7632676389854687,789445677585813.1,0.821917808219178,-0.2093492778381738,0.7395659432387313
"RandomForestClassifier(max_depth=5, max_features=1, n_estimators=10)",0.7736389684813754,0.6428034542083549,0.7544600799310783,996856937576993.8,0.8576576576576576,-0.052622034298695164,0.7378964941569283,0.5911049852461563,0.7278001319744078,1135298069671026.5,0.8376421923474665,-0.21710151679867495,0.7378964941569283
"MLPClassifier(alpha=1, max_iter=1000)",0.7879656160458453,0.6943350123961125,0.7828995523426296,783936038288703.9,0.8595825426944972,0.013999613441728509,0.7312186978297162,0.6280866594191645,0.7466889391437732,917260692052087.6,0.8220994475138121,-0.2481104726406793,0.7312186978297162
AdaBoostClassifier(),0.7994269340974212,0.7182467434851807,0.7968864567977855,703284182497684.9,0.8649951783992286,0.06729693163406747,0.7178631051752922,0.6226833876895999,0.7440614646335404,894705101263921.6,0.8103254769921437,-0.31012838432468826,0.7178631051752922
GaussianNB(),0.7277936962750716,0.6237594939427273,0.7451925540116114,922657230249256.4,0.8199052132701421,-0.26581130706805123,0.7061769616026711,0.5910791013097272,0.7280316189497652,1015001585467474.0,0.8078602620087336,-0.36439405704819605,0.7061769616026711
QuadraticDiscriminantAnalysis(),0.7550143266475645,0.6597642949010101,0.7641143388151562,838779300226596.6,0.8368320610687022,-0.13923017636124602,0.7178631051752922,0.6140252109540819,0.7395339349796262,939816282840253.8,0.8128460686600222,-0.31012838432468826,0.7178631051752922
