,train_accuracy,train_roc_auc,train_ap,train_mapr,train_f1,train_r2,test_accuracy,test_roc_auc,test_ap,test_mapr,test_f1,test_r2,score
KNeighborsClassifier(n_neighbors=3),0.8932664756446992,0.8619044437498061,0.8916512794384488,312929200469153.4,0.9240957717778909,0.5036687243338431,0.7796327212020033,0.7239737019205882,0.8011144853421178,601482421017762.4,0.8447058823529412,-0.023295542786146983,0.7796327212020033
"SVC(C=0.025, kernel='linear')",0.7349570200573066,0.5972110536576287,0.7315847783568973,1087187016062934.9,0.8334833483348335,-0.23250048319783945,0.7362270450751253,0.597103587513589,0.7307680035935693,1097705418357416.4,0.8347280334728033,-0.22485375575917588,0.7362270450751253
"SVC(C=1, gamma=2)",0.9405444126074498,0.9081482665724927,0.9231805657881033,251633790067979.0,0.958312405826218,0.7235201618772414,0.7779632721202003,0.675137184863074,0.7714311165760053,849593919687589.4,0.8546448087431693,-0.03104778174664813,0.7779632721202003
GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1)),0.8574498567335244,0.8009594758078947,0.8483419695744336,493589357441035.75,0.9017283950617284,0.33711460498278367,0.7996661101836394,0.7198128591396179,0.7972212942395769,699223314433148.8,0.8648648648648649,0.06973132473986632,0.7996661101836394
DecisionTreeClassifier(max_depth=5),0.7793696275071633,0.6625441738271416,0.7650185772838615,916205081785974.9,0.8585858585858586,-0.02597337520252574,0.7295492487479132,0.5980095252886058,0.7312749779019746,1067631297306528.2,0.8283898305084746,-0.25586271160118046,0.7295492487479132
"RandomForestClassifier(max_depth=5, max_features=1, n_estimators=10)",0.7707736389684814,0.6388495834953936,0.7524184944838438,1006535160271916.0,0.855985598559856,-0.06594636384677988,0.7495826377295493,0.609722006522752,0.7369521976618124,1082668357831972.4,0.8437500000000001,-0.16283584407516716,0.7495826377295493
"MLPClassifier(alpha=1, max_iter=1000)",0.7793696275071633,0.6830961885831685,0.7766400557640611,809744632141829.9,0.8541666666666667,-0.02597337520252574,0.7362270450751253,0.6245211471760626,0.744727674027771,954853343365697.9,0.8278867102396515,-0.22485375575917588,0.7362270450751253
AdaBoostClassifier(),0.7886819484240688,0.7023298487411802,0.7876491050176432,745223147509014.8,0.8585131894484411,0.017330695828749687,0.7345575959933222,0.636291867267174,0.7510089376221614,887186571001199.5,0.8231368186874305,-0.23260599471967702,0.7345575959933222
GaussianNB(),0.7270773638968482,0.6226153291830019,0.744604136207394,925883304480897.1,0.8195168166745618,-0.2691423894550724,0.7011686143572621,0.5960876430087487,0.7305800562551038,969890403891141.9,0.8013318534961154,-0.38765077392969927,0.7011686143572621
QuadraticDiscriminantAnalysis(),0.7550143266475645,0.6541591999675482,0.7609994757586118,867813968311363.5,0.8382213812677388,-0.13923017636124602,0.7328881469115192,0.6321892633431692,0.7488409857546648,902223631526643.6,0.8226164079822617,-0.24035823368017817,0.7328881469115192
