image,glcm
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.24671272 0.27381031 0.10961461 0.27211244 0.89850812 0.88736378
  0.95488398 0.88806202 0.40783945 0.40157377 0.4575771  0.40197276
  0.88050173 0.87003349 0.94535081 0.87119181]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.21142229 0.24773224 0.10088347 0.22212894 0.82346272 0.79310133
  0.91587174 0.81448485 0.48356258 0.47010942 0.53587127 0.48071054
  0.89621036 0.88023896 0.94962227 0.89231995]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.16277865 0.1746734  0.06537849 0.17636498 0.82110382 0.80793567
  0.92806182 0.80607566 0.62609816 0.62176542 0.67223737 0.62157622
  0.92029859 0.91504787 0.96733335 0.91475672]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.18149137 0.20751466 0.07773637 0.1881369  0.79345488 0.7637451
  0.91172866 0.78580472 0.59201529 0.58180352 0.6423862  0.59066283
  0.91083297 0.89935166 0.96119958 0.90865569]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.15424176 0.16436353 0.05326845 0.16109041 0.88047272 0.87261687
  0.95873539 0.87515272 0.55791855 0.55560123 0.59287685 0.55649364
  0.92461224 0.92003301 0.97336577 0.92228458]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.17183673 0.18464368 0.06836521 0.185043   0.83825048 0.82621592
  0.93581912 0.82583882 0.60978502 0.6055838  0.65661433 0.60559681
  0.91638744 0.91114559 0.96588893 0.91110063]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.15144113 0.18853621 0.08214743 0.14159003 0.92761196 0.90989743
  0.96071089 0.93233347 0.47514868 0.46233265 0.50364305 0.47973265
  0.925146   0.90835039 0.95893758 0.93003506]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.27420094 0.31188983 0.13089501 0.29832571 0.78611199 0.75666727
  0.89781387 0.76725101 0.4869282  0.4751444  0.54893597 0.48011999
  0.86696484 0.85145781 0.9346052  0.85748903]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.24669074 0.28006414 0.11256055 0.25976827 0.79839139 0.77108731
  0.90802607 0.78767583 0.50437618 0.49298828 0.56579597 0.50061554
  0.87929953 0.86503514 0.94373855 0.87409266]]"
/Users/melikapooyan/Downloads/BreaKHis_v1/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-027.png,"[[0.08896703 0.12302033 0.06769382 0.09259067 0.92257196 0.89295684
  0.94111101 0.91943487 0.59792951 0.58563273 0.60595484 0.59701438
  0.95559184 0.93953497 0.96618321 0.95387445]]"
