image,label,fos_0,fos_1,fos_2,fos_3
SOB_B_A-14-22549AB-40-001,0,191.62841165413533,273.7212481478689,0.0,-2.0
SOB_B_A-14-22549AB-40-002,0,194.17564536340853,181.115296475288,0.0,-1.9849624060150375
SOB_B_A-14-22549AB-40-003,0,194.53033521303257,138.9844805541412,0.0,-2.0
SOB_B_A-14-22549AB-40-004,0,195.75601503759398,158.5281603972239,0.0,-2.0
SOB_B_A-14-22549AB-40-005,0,186.69725877192982,232.29303983168293,0.0,-2.0
SOB_B_A-14-22549AB-40-006,0,187.50061403508772,284.92724678020596,0.0,-1.9836065573770492
SOB_B_A-14-22549AB-40-007,0,182.18593984962405,458.58364074712244,0.0,-2.0
SOB_B_A-14-22549AB-40-008,0,178.1249342105263,532.067739663302,0.0,-2.0
SOB_B_A-14-22549AB-40-009,0,180.87637218045114,527.4070028891498,0.0,-2.0
SOB_B_A-14-22549AB-40-010,0,183.5182111528822,526.1824957414935,0.0,-2.0
SOB_B_A-14-22549AB-40-011,0,184.50219611528823,611.5057393494002,0.0,-2.0
SOB_B_A-14-22549AB-40-012,0,184.954921679198,586.8876314399623,0.0,-2.0
SOB_B_A-14-22549AB-40-013,0,187.53792293233082,492.42587684475814,0.0,-2.0
SOB_B_A-14-22549AB-40-014,0,184.8076096491228,455.2042248134947,0.0,-2.0
SOB_B_A-14-22549AB-40-015,0,178.9806328320802,573.7090713681033,0.0,-1.9858156028368794
SOB_B_A-14-22549AB-40-016,0,174.68631892230576,611.5219805060854,0.0,-2.0
SOB_B_A-14-22549AB-40-017,0,178.59559523809523,727.9645655805093,0.0,-2.0
SOB_B_A-14-22549AB-40-018,0,180.77345864661655,393.09393236116955,0.0,-2.0
SOB_B_A-14-22549AB-40-019,0,183.3502819548872,363.36305001119746,0.0,-2.0
SOB_B_A-14-22549AB-40-020,0,182.20295112781955,421.3011254723577,0.0,-2.0
SOB_B_A-14-22549AB-40-021,0,186.86063909774435,499.01970453640365,0.0,-2.0
SOB_B_A-14-22549AB-40-022,0,182.61803571428572,485.6045827286427,0.0,-2.0
SOB_B_A-14-22549AB-40-023,0,194.79395989974938,379.02015011504926,0.0,-2.0
SOB_B_A-14-22549AB-40-024,0,183.31622493734335,422.0073229240768,0.0,-2.0
SOB_B_A-14-22549AB-40-025,0,186.13882518796993,458.3103169717276,0.0,-2.0
SOB_B_A-14-22549AB-40-026,0,171.5573872180451,573.5219792589241,0.0,-2.0
SOB_B_A-14-22549AB-40-027,0,183.1883865914787,585.8329486532706,0.0,-2.0
SOB_B_A-14-22549AB-40-028,0,186.8226096491228,501.3541190073123,0.0,-2.0
SOB_B_A-14-22549AB-40-029,0,183.9008740601504,491.97407437230714,0.0,-2.0
SOB_B_A-14-22549CD-40-001,0,183.28141917293232,192.64215806083982,0.0,-2.0
SOB_B_A-14-22549CD-40-002,0,188.0846553884712,133.26550702217526,0.0,-2.0
SOB_B_A-14-22549CD-40-003,0,190.19039786967417,149.76321639283398,0.0,-2.0
SOB_B_A-14-22549CD-40-004,0,195.65097431077695,144.4096342661938,0.0,-2.0
SOB_B_A-14-22549CD-40-005,0,197.18439536340853,228.54736726128533,0.0,-2.0
SOB_B_A-14-22549CD-40-006,0,188.59610275689224,204.80252171133333,0.0,-2.0
SOB_B_A-14-22549CD-40-007,0,186.6971679197995,308.5724026254448,0.0,-2.0
SOB_B_A-14-22549CD-40-008,0,183.98521929824562,317.6036301971761,0.0,-2.0
SOB_B_A-14-22549CD-40-009,0,190.23349310776942,203.79831663675046,0.0,-2.0
SOB_B_A-14-22549CD-40-010,0,184.60896303258144,276.53709981797994,0.0,-2.0
SOB_B_A-14-22549CD-40-011,0,185.03399436090226,230.17529286174485,0.0,-2.0
SOB_B_A-14-22549CD-40-012,0,182.12518483709272,251.16904659256318,0.0,-2.0
