image,label,glcm_0,glcm_1,glcm_2,glcm_3,glcm_4,glcm_5,glcm_6,glcm_7,glcm_8,glcm_9,glcm_10,glcm_11,glcm_12,glcm_13,glcm_14,glcm_15,glcm_16,glcm_17,glcm_18,glcm_19
SOB_B_A-14-22549AB-40-001,0,83.95689795918479,109.06554418399853,23.300300554676827,94.25312770205446,6.146963893249676,7.044811268845521,3.015074793564706,6.415148799698065,0.2299365844659563,0.2069722902234198,0.3775673319141489,0.2253520644482847,0.0354904232799452,0.0333228659576777,0.0490071059096819,0.0349242004451707,0.8820138689382875,0.8468105189727728,0.9672483644588994,0.8676153829555524
SOB_B_A-14-22549AB-40-002,0,58.22344113029887,69.1266644657198,16.230671008709017,69.04014526246226,5.141299843014171,5.601056454275258,2.5883498983509905,5.549287050574549,0.2362576932382306,0.2209761135744316,0.3850600954119307,0.224895037912861,0.0425030395155646,0.0409211888938955,0.0586002037166995,0.0413186600314043,0.8722522307349518,0.8483101999291188,0.96438780264846,0.8485001268493049
SOB_B_A-14-22549AB-40-003,0,46.3462040816328,54.78681318681313,14.879147529051403,56.16935653759688,4.55938461538465,4.981697558521551,2.507262881811095,5.005628134383443,0.2510804383256283,0.2327137724344196,0.3852787795039288,0.234037395753367,0.0487147538973176,0.0468244807582812,0.0641997923027043,0.0469678898061764,0.8717286620345109,0.8482842516824245,0.958873160067931,0.8444566752989084
SOB_B_A-14-22549AB-40-004,0,42.11892621664091,51.860824726060684,12.44987199759044,49.0501029728494,4.098379905808497,4.588407300853614,2.0935860753457085,4.401899102328235,0.3020084340807998,0.2778190276420513,0.4528623489640896,0.2870653213790158,0.0473643452881706,0.0451009576626737,0.0640681234840275,0.046106970012657,0.901376934316611,0.8784282773618342,0.9708374505275909,0.8850169947912673
SOB_B_A-14-22549AB-40-005,0,83.03921507064464,105.70096370010396,23.14208267449714,90.74170636230647,6.261783359497729,7.143904164504911,3.079549732700814,6.419883978682178,0.2046708898567355,0.1815184249848849,0.3482927532916008,0.20267426607965,0.0320853274771888,0.0301157179886175,0.0453149189376959,0.0320321140998958,0.8629626890473938,0.8255231213724384,0.9618410041845818,0.8502142835744081
SOB_B_A-14-22549AB-40-006,0,74.60727158555729,96.00938860852914,20.379621263458905,79.62605291703919,5.811918367346964,6.637299753179491,2.791989810004241,5.917181530915361,0.237240902831441,0.2146945475547258,0.3832028423280951,0.232499245542862,0.0354905091077294,0.0335445294099018,0.0475444751118603,0.0349790847552058,0.906182269646982,0.8792170320296161,0.974387493279472,0.8998274227008551
SOB_B_A-14-22549AB-40-007,0,114.57240816326652,141.83990315835788,23.65809552493513,118.8150167429134,7.422298273155489,8.291292112751261,3.1492796727153687,7.499498498640073,0.2141579751889411,0.199090775620426,0.3683009184150602,0.2118060962175399,0.0298218654857226,0.0285694239682926,0.0410452573462342,0.0294574884511211,0.9103076924637984,0.8889564518006423,0.9814907089464192,0.9069812388881516
SOB_B_A-14-22549AB-40-008,0,136.91393406593696,170.2501627128231,32.31215018949339,150.3610558254321,8.481563579277982,9.502086182772738,3.9391800316240593,8.856903897247173,0.154683728892187,0.1430324726853657,0.2775905684126442,0.1469711525381695,0.0218100943846955,0.0207180405073667,0.0315335398576705,0.0214216244473643,0.8661939066082759,0.8336011498334052,0.9684335336914196,0.8530400304934622
SOB_B_A-14-22549AB-40-009,0,158.08459026687916,197.7645144555005,41.20614348819057,182.02432045779716,9.269481946624952,10.440167271926814,4.538115227266935,9.93696175069562,0.1333401632576067,0.1188416110470256,0.2465790334151701,0.1252164734144875,0.0203838447066382,0.0192460479986577,0.0289608954556518,0.0198067140271753,0.8515970895193646,0.8143106389550977,0.9612860701465448,0.8290898860025657
SOB_B_A-14-22549AB-40-010,0,107.94362951334624,134.98293952113582,28.78733089877723,121.51226713200762,7.4631522762952835,8.381791884796085,3.7389472429284263,7.932673049411111,0.1720897451549781,0.1584483558653343,0.2851009065482494,0.1564447491917911,0.0240859148960134,0.0228768005984188,0.0336963255604245,0.0233395564571236,0.8699495045909712,0.8373077391939018,0.9652849763050886,0.8535436170421845
