image,label,hos_0,hos_1,hos_2
SOB_B_A-14-22549AB-40-001,0,114212.99409033825,0.0698620928402063,0.7398264960732666
SOB_B_A-14-22549AB-40-002,0,55830.55278935561,0.05601650935324945,0.7135122630049684
SOB_B_A-14-22549AB-40-003,0,37662.64268935045,0.049106436751508914,0.6945629627597589
SOB_B_A-14-22549AB-40-004,0,30912.691206760857,0.054568190279350226,0.645350546068341
SOB_B_A-14-22549AB-40-005,0,108970.19211256708,0.06386169086644532,0.7477583964363537
SOB_B_A-14-22549AB-40-006,0,88006.87922602319,0.07381061213623653,0.7146365217607795
SOB_B_A-14-22549AB-40-007,0,184949.69245229542,0.09331465673932743,0.733836736445349
SOB_B_A-14-22549AB-40-008,0,275578.8715734752,0.08730977179837149,0.8142038003555173
SOB_B_A-14-22549AB-40-009,0,381223.4518612979,0.08734753624868272,0.8323384420110521
SOB_B_A-14-22549AB-40-010,0,180748.18574951295,0.08124956882196331,0.7977365089723569
SOB_B_A-14-22549AB-40-011,0,406832.0365061259,0.09996161226780459,0.8151328442884996
SOB_B_A-14-22549AB-40-012,0,308020.5404182644,0.09713567620022025,0.8220234862848028
SOB_B_A-14-22549AB-40-013,0,181514.28838143335,0.08968962047973997,0.7600881830108261
SOB_B_A-14-22549AB-40-014,0,115398.35955240473,0.08255686137725633,0.7554897969710772
SOB_B_A-14-22549AB-40-015,0,216078.91014005576,0.08983590901370912,0.7945198827698925
SOB_B_A-14-22549AB-40-016,0,250767.33861624365,0.08767111063115836,0.8165243132762255
SOB_B_A-14-22549AB-40-017,0,281348.75452287117,0.10085784890469847,0.8030091377555573
SOB_B_A-14-22549AB-40-018,0,77704.49760626204,0.07557494223786308,0.7360570991691725
SOB_B_A-14-22549AB-40-019,0,89247.91451039015,0.07633286817368794,0.7370376245261246
SOB_B_A-14-22549AB-40-020,0,21558.895647753863,0.09596046801845315,0.5555346919959617
SOB_B_A-14-22549AB-40-021,0,39844.0348893358,0.10294583910821695,0.6082697724885084
SOB_B_A-14-22549AB-40-022,0,56290.20982360475,0.0938484700646943,0.6705442737237878
SOB_B_A-14-22549AB-40-023,0,71919.98342283802,0.08783460073190356,0.6065035812076017
SOB_B_A-14-22549AB-40-024,0,106687.5446771906,0.07740641090499231,0.7522203937692495
SOB_B_A-14-22549AB-40-025,0,93908.58990645912,0.09130344187568873,0.6039975278661687
SOB_B_A-14-22549AB-40-026,0,199548.6207108111,0.09122840670660749,0.7494076325274452
SOB_B_A-14-22549AB-40-027,0,268713.00907940045,0.10742374347975531,0.7241904382775255
SOB_B_A-14-22549AB-40-028,0,212511.59514620097,0.09645393050225903,0.7180002223462244
SOB_B_A-14-22549AB-40-029,0,144329.54449673733,0.09108434719219131,0.7005328875438702
SOB_B_A-14-22549CD-40-001,0,21436.557965181688,0.06095760587372083,0.6790952020155027
SOB_B_A-14-22549CD-40-002,0,22904.983667355456,0.050595047479050775,0.6633891914430357
SOB_B_A-14-22549CD-40-003,0,28754.972817361355,0.05266910022794018,0.6342109273196088
SOB_B_A-14-22549CD-40-004,0,18634.69199575536,0.051846120200626344,0.6272200610658465
SOB_B_A-14-22549CD-40-005,0,29599.72211091054,0.06807265999788503,0.5285292590056245
SOB_B_A-14-22549CD-40-006,0,45180.78296542429,0.05955525660321806,0.6294778402948796
SOB_B_A-14-22549CD-40-007,0,69463.9768726952,0.07470207476403014,0.6393022876851483
SOB_B_A-14-22549CD-40-008,0,90721.70256634902,0.07538200539200368,0.6991959408484966
SOB_B_A-14-22549CD-40-009,0,39939.57425123984,0.06160490493007821,0.6345874508329983
SOB_B_A-14-22549CD-40-010,0,41696.65607924019,0.07326926539852795,0.6749526114942227
SOB_B_A-14-22549CD-40-011,0,64307.393151783064,0.06337936571811403,0.6996176746350522
SOB_B_A-14-22549CD-40-012,0,81552.72157416321,0.06428279162591623,0.7270842553683741
SOB_B_A-14-22549CD-40-013,0,104244.53154259446,0.05993043816050465,0.7548379929604739
SOB_B_A-14-22549CD-40-014,0,61090.23283311393,0.054738611164671,0.7242438883568308
SOB_B_A-14-22549CD-40-015,0,45080.864254933695,0.06304817256236188,0.6632334325389594
SOB_B_A-14-22549CD-40-016,0,13551.221168351487,0.05357541103447308,0.6154109091751165
SOB_B_A-14-22549CD-40-017,0,11284.04525289824,0.06903615585540919,0.581819592970083
SOB_B_A-14-22549CD-40-018,0,15344.688602176295,0.05807550286014401,0.6305224541349602
SOB_B_A-14-22549CD-40-019,0,17661.75569476234,0.05744663773035538,0.6641654703397669
SOB_B_A-14-22549CD-40-020,0,16443.964532943308,0.04274453019096293,0.6934245391041507
SOB_B_A-14-22549CD-40-021,0,10999.470958405358,0.039513053878895046,0.6689442414177922
SOB_B_A-14-22549CD-40-022,0,15657.559637846072,0.03847365664050724,0.6729456869190404
SOB_B_A-14-22549CD-40-023,0,20885.99777557282,0.05179632803807623,0.6094391204292935
SOB_B_A-14-22549CD-40-024,0,23434.228699951756,0.059482910703710125,0.6118650893771068
SOB_B_A-14-22549CD-40-025,0,22649.422243463305,0.0526343615666993,0.6604524094948786
SOB_B_A-14-22549CD-40-026,0,37445.508390927855,0.06115340537247562,0.6907101167681156
SOB_B_A-14-22549CD-40-027,0,40376.614276575296,0.06989487279459673,0.681454314251883
SOB_B_A-14-22549CD-40-028,0,68946.64967219491,0.08714785141451846,0.7081985211930868
SOB_B_A-14-22549CD-40-029,0,99679.06671298292,0.1075039168832577,0.7070803737570825
SOB_B_A-14-22549CD-40-030,0,114844.46290678729,0.11220879132835061,0.7207512559365828
SOB_B_A-14-22549CD-40-031,0,99566.20654579748,0.11073149899861652,0.7165141981928114
SOB_B_A-14-22549CD-40-032,0,73134.93302742687,0.07446147034755174,0.743028621703713
SOB_B_A-14-22549CD-40-033,0,71407.33049886058,0.08073003301939587,0.7208628884788378
SOB_B_A-14-22549CD-40-034,0,75888.36493483053,0.06416095919312877,0.7357603030010771
SOB_B_A-14-22549CD-40-035,0,64577.73996372781,0.08551538233079285,0.6321725836157814
SOB_B_A-14-22549G-40-001,0,227837.84971299555,0.09813412790012618,0.7497127607964802
SOB_B_A-14-22549G-40-002,0,187751.63972824073,0.08455086524084147,0.7642362686732678
SOB_B_A-14-22549G-40-003,0,93991.76920091893,0.0816073727138609,0.7359618898942377
SOB_B_A-14-22549G-40-004,0,65533.95476068576,0.08689360751317687,0.7339816999540371
SOB_B_A-14-22549G-40-005,0,133451.91359642992,0.08578551995111014,0.781712374769533
SOB_B_A-14-22549G-40-006,0,102011.22711994383,0.07246347615354261,0.7913792784508834
SOB_B_A-14-22549G-40-007,0,83440.30492327601,0.08895925906916624,0.7368456536227049
SOB_B_A-14-22549G-40-008,0,145242.88572431207,0.10848414894924849,0.7253759606446374
SOB_B_A-14-22549G-40-009,0,73220.6630685067,0.10773479228136341,0.6938734148377184
SOB_B_A-14-22549G-40-010,0,81257.90556854711,0.09281665320822859,0.7022048167088906
SOB_B_A-14-22549G-40-011,0,124498.25863803281,0.07325067234163582,0.753541322195316
SOB_B_A-14-22549G-40-012,0,258373.6502948381,0.10836123577527347,0.7806857987122626
SOB_B_A-14-22549G-40-013,0,250141.92624341295,0.11158735889560722,0.7450229067422159
SOB_B_A-14-22549G-40-014,0,479675.6025495024,0.09103985364339222,0.815110597428373
SOB_B_A-14-22549G-40-015,0,250651.79912739169,0.08262400240281755,0.7667788266309891
SOB_B_A-14-22549G-40-016,0,275102.44228639867,0.09208347423817898,0.8044655967625487
SOB_B_A-14-22549G-40-017,0,178773.37302666047,0.09315409745700667,0.7918380006186099
SOB_B_A-14-22549G-40-018,0,149515.91123227487,0.09644650769969541,0.7900843383073458
SOB_B_A-14-22549G-40-019,0,168389.43587699428,0.09674124397404556,0.7754349056028721
