image,label,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9
SOB_B_A-14-22549AB-40-001,0,0.0175125313283153,0.0693170426064945,0.0380764411027449,0.1149718045112421,0.272647243107684,0.1827286967417974,0.076813909774412,0.0747462406014803,0.0753132832079964,0.0778728070175194
SOB_B_A-14-22549AB-40-002,0,0.0244266917293156,0.0779636591478452,0.0436967418546229,0.1130200501252778,0.2404605263157141,0.1622619047618539,0.081713659147844,0.0826284461152623,0.0762562656641365,0.097572055137814
SOB_B_A-14-22549AB-40-003,0,0.029771303258136,0.0783489974937097,0.0458709273182813,0.1177005012530959,0.2054323308270033,0.1602506265663658,0.0853477443608755,0.0842387218044848,0.0826535087719039,0.11038533834583
SOB_B_A-14-22549AB-40-004,0,0.0223558897243037,0.0721835839598771,0.0347994987468562,0.1089567669172591,0.2158239348370251,0.1753352130325265,0.0810181704260397,0.0837280701754123,0.0987593984962096,0.1070394736841769
SOB_B_A-14-22549AB-40-005,0,0.029708646616532,0.0815664160400747,0.0428853383458512,0.113148496240566,0.2309962406014314,0.1591885964911782,0.0769611528821814,0.0818452380952124,0.0789442355889477,0.1047556390977115
SOB_B_A-14-22549AB-40-006,0,0.0264097744360819,0.0806954887217792,0.0397431077694111,0.1055513784460822,0.2346240601503024,0.1558991228069687,0.0765914786967178,0.0848402255638832,0.0894454887217764,0.1061998746866835
SOB_B_A-14-22549AB-40-007,0,0.0245300751879622,0.0800313283207769,0.0363941102756778,0.100131578947337,0.2658615288219718,0.1559931077693747,0.0689505012531112,0.081619674185438,0.0898966165413252,0.0965914786967116
SOB_B_A-14-22549AB-40-008,0,0.0210776942355823,0.0762969924811791,0.0475877192982307,0.1196303258144988,0.2995488721803573,0.1597807017543359,0.0739755639097512,0.0762312030074949,0.0536560150375771,0.0722149122806791
SOB_B_A-14-22549AB-40-009,0,0.0209367167919733,0.0723088972430851,0.0490914786967264,0.1299404761904354,0.3030764411026619,0.1655858395989456,0.074191729323285,0.0716729323308046,0.0464348370927172,0.0667606516290517
SOB_B_A-14-22549AB-40-010,0,0.0226065162907197,0.0725438596491,0.0509931077694075,0.1256704260651235,0.2871209273182057,0.1577506265663666,0.0791416040100002,0.0721271929824335,0.0563314536340675,0.0757142857142619
SOB_B_A-14-22549AB-40-011,0,0.0199592731829511,0.0748684210526081,0.0437875939849486,0.1176284461152513,0.3175720551377451,0.1594110275688723,0.0685996240601288,0.0746773182957159,0.0550689223057471,0.0684273182957179
SOB_B_A-14-22549AB-40-012,0,0.0243828320801928,0.0718139097744136,0.0458239348370783,0.1206923558896865,0.3064160401001546,0.1562312030074698,0.070328947368399,0.0722932330826841,0.0549279448621381,0.0770895989974695
SOB_B_A-14-22549AB-40-013,0,0.0205200501253068,0.0719047619047393,0.0404667919799371,0.1163283208019685,0.2772493734334971,0.1696992481202476,0.0732080200501023,0.0765382205513544,0.0734335839598767,0.0806516290726564
SOB_B_A-14-22549AB-40-014,0,0.0189254385964852,0.0687656641603794,0.0435557644110139,0.1233176691728937,0.2816791979948992,0.1705169172931796,0.0783897243107523,0.0727913533834358,0.0660714285714078,0.0759868421052393
SOB_B_A-14-22549AB-40-015,0,0.018953634085207,0.0705858395989753,0.0439630325814398,0.1211779448621174,0.30916979949865,0.1651127819548355,0.0739912280701522,0.0712813283207796,0.0560119047618872,0.0697525062656423
SOB_B_A-14-22549AB-40-016,0,0.022973057644103,0.0690068922305548,0.0506328320801846,0.1262218045112386,0.3023151629071735,0.1600093984961904,0.0757080200501015,0.0677882205513572,0.0521741854636428,0.0731704260651399
SOB_B_A-14-22549AB-40-017,0,0.0168107769423506,0.0602662907267981,0.0433865914786831,0.1322149122806603,0.3231109022555378,0.1766635338345311,0.0735808270676461,0.0619705513784267,0.0506453634085054,0.0613502506265472
SOB_B_A-14-22549AB-40-018,0,0.0168389724310724,0.0735870927318065,0.0363408521303144,0.1105795739348024,0.2814129072680822,0.1790006265663599,0.0724655388470951,0.0771083959899507,0.0733615288220321,0.0793045112781706
SOB_B_A-14-22549AB-40-019,0,0.0199373433583897,0.0761622807017305,0.0375219298245496,0.1108333333332986,0.274091478696656,0.1713001253132295,0.0734649122806787,0.0787499999999753,0.0745112781954653,0.0834273182957132
SOB_B_A-14-22549AB-40-020,0,0.0259210526315708,0.0656923558897037,0.0293421052631487,0.108123433583926,0.1606672932330323,0.1561184210525826,0.0788596491227823,0.081776315789448,0.1730388471177402,0.1204605263157517
SOB_B_A-14-22549AB-40-021,0,0.0265977443608939,0.0711278195488498,0.0322744360902154,0.099125939849593,0.2109899749372772,0.1419392230575996,0.0721553884711553,0.0834210526315528,0.1519517543859173,0.110416666666632
SOB_B_A-14-22549AB-40-022,0,0.0225187969924741,0.0675908521303046,0.0364630325814422,0.1114943609022207,0.2437938596490464,0.160191102756842,0.0751754385964676,0.077662907268146,0.1096647869673841,0.0954448621553585
SOB_B_A-14-22549AB-40-023,0,0.0248433583959821,0.0716071428571204,0.029755639097735,0.0980200501252825,0.2011372180450497,0.1481109022555927,0.0703571428571208,0.0855889724310508,0.1614880952380446,0.1090914786967076
SOB_B_A-14-22549AB-40-024,0,0.0189567669172872,0.0715444862155164,0.0349154135338236,0.1074906015037257,0.2913596491227157,0.1735150375939306,0.0672869674185252,0.074364035087696,0.0791948621553636,0.0813721804511023
SOB_B_A-14-22549AB-40-025,0,0.0240507518796917,0.0797713032581203,0.0232142857142784,0.086156015037567,0.2040288220550739,0.1505795739347899,0.066074561403488,0.0911309523809238,0.1581516290726321,0.1168421052631212
SOB_B_A-14-22549AB-40-026,0,0.0184461152882147,0.0662656641603802,0.0376002506265546,0.1164974937342993,0.2897493734334931,0.1715946115287683,0.0741854636591246,0.0713471177944638,0.0753164160400766,0.078997493734311
SOB_B_A-14-22549AB-40-027,0,0.0216196741854568,0.0742011278195256,0.0374592731829456,0.1109649122806669,0.2604511278194673,0.1607048872179947,0.0723057644110049,0.0783709273182711,0.095090852130296,0.0888314536340573
SOB_B_A-14-22549AB-40-028,0,0.0226942355889653,0.0737030075187739,0.0357863408521191,0.1084649122806677,0.2539191729322513,0.1625563909773927,0.0731046365914557,0.0800877192982205,0.0951785714285416,0.0945050125312987
SOB_B_A-14-22549AB-40-029,0,0.0215570175438528,0.0773245614034845,0.032565789473674,0.10159147869671,0.2617888471177125,0.1581735588971935,0.0701347117794266,0.0815350877192727,0.100006265664129,0.0953226817042307
SOB_B_A-14-22549CD-40-001,0,0.0144423558897197,0.0526503759398331,0.0307518796992384,0.123449248120262,0.2418295739347613,0.2050751879698605,0.081760651629047,0.0679229323308057,0.1046992481202679,0.0774185463658905
