image,label,orb_0,orb_1,orb_2,orb_3,orb_4,orb_5,orb_6,orb_7,orb_8,orb_9,orb_10,orb_11,orb_12,orb_13,orb_14,orb_15,orb_16,orb_17,orb_18,orb_19,orb_20,orb_21,orb_22,orb_23,orb_24,orb_25,orb_26,orb_27,orb_28,orb_29,orb_30,orb_31
SOB_B_A-14-22549AB-40-001,0,100.568,132.024,122.552,148.406,124.652,138.716,146.1,134.106,118.954,110.962,139.366,127.664,126.502,132.824,120.566,119.734,142.518,133.788,117.718,140.57,132.312,128.866,111.876,165.43,128.75,122.95,142.742,135.078,115.982,119.792,130.414,142.848
SOB_B_A-14-22549AB-40-002,0,98.438,127.666,130.386,161.56,127.966,134.29,151.72,137.552,110.934,105.91,141.884,121.99,116.452,139.32,130.77,122.338,143.582,137.922,106.102,147.83,133.928,129.66,103.668,179.92,119.21,121.018,148.972,135.594,117.238,126.072,131.606,144.188
SOB_B_A-14-22549AB-40-003,0,97.60699588477368,117.87860082304526,127.65020576131688,160.13168724279836,130.5576131687243,130.03086419753086,141.94650205761317,131.19341563786008,111.22633744855968,104.91769547325104,134.37037037037038,116.5267489711934,125.0925925925926,135.4362139917695,125.84979423868312,119.48971193415638,146.82716049382717,127.73456790123456,99.40946502057614,137.72222222222223,128.21604938271605,134.09876543209876,101.18930041152264,176.13168724279836,122.19135802469135,124.2798353909465,143.9835390946502,131.74074074074073,120.4074074074074,126.63374485596708,129.119341563786,134.09876543209876
SOB_B_A-14-22549AB-40-004,0,100.40529531568228,114.18737270875764,112.60488798370672,173.25050916496946,121.32993890020369,138.35437881873727,146.66802443991853,125.73523421588597,116.30142566191446,103.67209775967412,144.050916496945,104.88798370672096,119.44806517311608,136.0346232179226,116.88594704684316,114.12016293279022,157.82281059063138,127.41140529531567,91.87169042769855,140.35030549898167,126.11201629327904,122.67209775967412,91.31568228105908,181.938900203666,131.61914460285132,129.35437881873727,147.84317718940935,129.1242362525458,108.81466395112017,112.989816700611,129.81262729124236,134.75152749490834
SOB_B_A-14-22549AB-40-005,0,98.444,117.118,131.654,143.298,119.448,126.654,139.016,126.386,121.712,123.888,135.196,124.524,127.994,122.236,132.254,119.112,135.606,127.614,103.124,137.346,134.632,138.842,108.678,149.33,127.238,128.958,128.796,120.712,117.878,137.144,122.618,136.434
SOB_B_A-14-22549AB-40-006,0,109.15831663326654,121.18236472945893,120.07414829659318,155.92785571142284,126.96993987975952,131.8436873747495,149.39679358717436,136.42685370741484,120.18436873747495,115.76753507014028,141.1202404809619,106.23246492985972,126.374749498998,141.38276553106212,120.08617234468936,106.96793587174348,148.49298597194388,132.6492985971944,104.5751503006012,135.05210420841684,130.5871743486974,125.83967935871743,104.5751503006012,161.79158316633266,130.44288577154308,133.97995991983967,136.19839679358716,127.02605210420842,110.09018036072143,122.96793587174348,132.2304609218437,141.34468937875752
SOB_B_A-14-22549AB-40-007,0,110.846,125.276,120.48,143.016,117.92,138.942,144.172,129.354,123.418,113.16,148.874,118.612,122.616,133.342,117.288,119.044,138.118,137.276,117.098,141.404,134.066,128.574,112.018,150.436,132.792,140.094,132.166,124.366,110.916,119.25,126.738,138.558
SOB_B_A-14-22549AB-40-008,0,108.012,130.968,121.3,138.704,128.388,133.704,129.746,136.048,125.8,120.566,134.612,111.328,132.978,130.546,116.854,118.446,141.926,129.966,113.258,124.62,125.778,128.962,122.196,132.854,137.386,140.458,123.59,121.14,126.068,122.634,127.564,128.508
SOB_B_A-14-22549AB-40-009,0,100.286,119.436,115.308,137.214,124.048,135.832,132.434,131.492,129.384,101.832,141.162,104.52,132.966,137.05,110.686,117.6,145.274,120.424,110.386,117.49,120.792,127.57,104.132,134.334,139.704,144.81,118.56,114.492,124.144,120.36,134.294,123.756
SOB_B_A-14-22549AB-40-010,0,103.612,123.212,117.384,138.48,123.47,138.786,131.23,134.788,126.978,99.062,144.902,99.684,123.946,135.58,104.526,109.322,145.016,126.714,107.284,121.124,121.09,121.476,105.82,128.148,147.004,155.738,105.058,104.806,120.864,118.84,128.004,129.154
